S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
6319,DFSK Glory 580 Pro 2021,DFSK,2021,21000,Petrol,Automatic,Islamabad,Black,1500,Crossover,51
6320,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,11528,Petrol,Automatic,Islamabad,White,1800,Sedan,51
6321,DFSK Glory 580 Pro 2021,DFSK,2021,8200,Petrol,Automatic,Islamabad,Grey,1500,Crossover,51
6322,DFSK Glory 580 Pro 2021,DFSK,2021,15000,Petrol,Automatic,Sindh,Black,1500,Crossover,51
6323,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,18000,Petrol,Automatic,Punjab,Burgundy,1800,Sedan,51
6324,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,58000,Petrol,Automatic,Lahore,White,1800,Sedan,51
6325,Suzuki APV GLX 2020,Suzuki,2020,42000,Petrol,Manual,Karachi,White,1500,MPV,51
6326,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,45000,Petrol,Automatic,Islamabad,White,1800,Sedan,51
6327,Hyundai Elantra GLS 2021,Hyundai,2021,21000,Petrol,Automatic,Un-Registered,Navy,2000,Sedan,51
6328,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,21000,Petrol,Automatic,Karachi,White,1800,Sedan,51
6329,Toyota Vitz Hybrid F 1.5 2017,Toyota,2017,30786,Hybrid,Automatic,Karachi,Silver,1500,Hatchback,51
6330,Honda Civic 1.5 VTEC Turbo Oriel 2020,Honda,2020,31000,Petrol,Automatic,Islamabad,Black,1500,Sedan,51
6331,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,14885,Petrol,Automatic,Islamabad,White,1800,Sedan,51
6332,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,17000,Petrol,Automatic,Punjab,White,1600,Sedan,51
6333,Hyundai Elantra GLS 2021,Hyundai,2021,19000,Petrol,Automatic,Sindh,White,2000,Sedan,51
6334,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,19000,Petrol,Automatic,Sindh,White,1600,Sedan,51
6335,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,28000,Petrol,Automatic,Punjab,White,1800,Sedan,51
6336,DFSK Glory 580 Pro 2021,DFSK,2021,2400,Petrol,Automatic,Karachi,Grey,1500,Crossover,51
6337,Honda Civic Turbo 1.5 VTEC CVT 2019,Honda,2019,59000,Petrol,Automatic,Lahore,Black,1500,Sedan,51
6338,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,36000,Petrol,Automatic,Islamabad,Silver,1800,Sedan,51
6339,DFSK Glory 580 Pro 2021,DFSK,2021,45522,Petrol,Automatic,Lahore,Silver,1500,Crossover,51
6340,DFSK Glory 580 Pro 2021,DFSK,2021,12483,Petrol,Automatic,Islamabad,Silver,1500,Crossover,51
6341,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,18000,Petrol,Automatic,Punjab,White,1800,Sedan,51
6342,DFSK Glory 580 1.5 CVT 2021,DFSK,2021,57000,Petrol,Automatic,Islamabad,Black,1500,SUV,51
6343,DFSK Glory 580 Pro 2021,DFSK,2021,48000,Hybrid,Automatic,Karachi,White,1500,Crossover,51
6344,Toyota Corolla Axio Hybrid 1.5 2018,Toyota,2018,12000,Petrol,Automatic,Un-Registered,Silver,1500,Sedan,51
6345,DFSK Glory 580 Pro 2021,DFSK,2021,50000,Petrol,Automatic,Islamabad,Silver,1500,Crossover,51
6346,Toyota Corolla Altis X Automatic 1.6 2022,Toyota,2022,1200,Petrol,Automatic,Sindh,Black,1600,Sedan,51
6347,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,19000,Petrol,Automatic,Islamabad,Black,1600,Sedan,51
6348,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,9000,Petrol,Automatic,Sindh,White,1600,Sedan,51
6349,Hyundai Elantra GL 2022,Hyundai,2022,3000,Petrol,Automatic,Un-Registered,White,1600,Sedan,51
6350,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1600,Sedan,51
6351,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,1000,Petrol,Automatic,Karachi,Black,1600,Sedan,51
6352,Toyota Corolla Altis X Automatic 1.6 2022,Toyota,2022,6000,Petrol,Automatic,Islamabad,White,1600,Sedan,51
6353,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,900,Petrol,Automatic,Lahore,White,1600,Sedan,51
6354,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,24000,Petrol,Automatic,Karachi,White,1800,Sedan,51
6355,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,11528,Petrol,Automatic,Islamabad,White,1800,Sedan,51
6356,DFSK Glory 580 Pro 2021,DFSK,2021,20600,Petrol,Automatic,Islamabad,Silver,1500,Crossover,51
6357,Toyota Corolla Altis Grande 1.8 2021,Toyota,2021,30000,Petrol,Manual,Islamabad,White,1800,Sedan,51
6358,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,14000,Petrol,Automatic,Islamabad,White,1600,Sedan,51
6359,Hyundai Elantra GLS 2021,Hyundai,2021,20000,Petrol,Automatic,Islamabad,Black,2000,Sedan,51
6360,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,12000,Petrol,Automatic,Un-Registered,Black,1800,Sedan,51
6361,Honda Vezel Hybrid RS Honda Sensing  2016,Honda,2016,48000,Petrol,Automatic,Islamabad,Black,1500,Crossover,51
6362,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,30000,Petrol,Automatic,Islamabad,White,1800,Sedan,51
6363,DFSK Glory 580 Pro 2022,DFSK,2022,30000,Petrol,Automatic,Islamabad,White,1500,Crossover,51
6364,Honda Civic 1.8 i-VTEC CVT 2021,Honda,2021,2500,Petrol,Automatic,Sindh,White,1800,Sedan,51
6365,Toyota Corolla Altis X Automatic 1.6 2022,Toyota,2022,3300,Petrol,Automatic,Lahore,Silver,1600,Sedan,51.2
6366,Hyundai Elantra GLS 2021,Hyundai,2021,25000,Petrol,Automatic,Islamabad,Silver,2000,Sedan,51.25
6367,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,9000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.25
6368,Toyota Aqua Crossover 2018,Toyota,2018,44500,Hybrid,Automatic,Punjab,Green,1500,Hatchback,51.25
6369,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,16000,Petrol,Automatic,Punjab,White,1600,Sedan,51.25
6370,DFSK Glory 580 Pro 2021,DFSK,2021,14700,Petrol,Automatic,Islamabad,Silver,1500,Crossover,51.25
6371,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,5000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.4
6372,Hyundai Elantra GLS 2021,Hyundai,2021,29000,Petrol,Automatic,Islamabad,White,2000,Sedan,51.5
6373,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,55000,Petrol,Automatic,Punjab,Black,1800,Sedan,51.5
6374,Hyundai Elantra GL 2022,Hyundai,2022,11000,Petrol,Automatic,Islamabad,White,1600,Sedan,51.5
6375,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,55000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6376,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,1700,Petrol,Automatic,Un-Registered,White,1800,Sedan,51.5
6377,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,25000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6378,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,2300,Petrol,Automatic,Islamabad,White,1600,Sedan,51.5
6379,Hyundai Elantra GLS 2021,Hyundai,2021,16000,Petrol,Automatic,Islamabad,Black,2000,Sedan,51.5
6380,Mercedes Benz SLK Class SLK200 Kompressor 2006,Mercedes,2006,47000,Petrol,Automatic,Islamabad,Black,1800,Coupe,51.5
6381,DFSK Glory 580 Pro 2022,DFSK,2022,14000,Petrol,Automatic,Sindh,Black,1500,Crossover,51.5
6382,Hyundai Elantra GLS 2021,Hyundai,2021,16000,Petrol,Automatic,Karachi,Silver,2000,Sedan,51.5
6383,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,12000,Petrol,Automatic,Lahore,Grey,1800,Sedan,51.5
6384,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,24000,Petrol,Automatic,Punjab,White,1800,Sedan,51.5
6385,Honda Civic Turbo 1.5 VTEC CVT 2019,Honda,2019,36000,Petrol,Automatic,Islamabad,White,1500,Sedan,51.5
6386,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,56200,Petrol,Automatic,Punjab,Black,1800,Sedan,51.5
6387,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,700,Petrol,Automatic,Islamabad,White,1600,Sedan,51.5
6388,Toyota Aqua S 2019,Toyota,2019,28000,Petrol,Automatic,Un-Registered,Blue,1500,Hatchback,51.5
6389,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,30000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6390,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,19000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6391,Daihatsu Rocky 1.0 R TC 2020,Daihatsu,2020,33000,Petrol,Automatic,Un-Registered,Black,1000,Compact SUV,51.5
6392,MG ZS 1.5L 2022,MG,2022,8500,Petrol,Automatic,Un-Registered,White,1500,Compact SUV,51.5
6393,Toyota Aqua S 2019,Toyota,2019,49000,Hybrid,Automatic,Islamabad,Silver,1500,Hatchback,51.5
6394,Toyota Vitz Hybrid U 1.5 2019,Toyota,2019,21000,Hybrid,Automatic,Un-Registered,White,1500,Hatchback,51.5
6395,Honda BR-V i-VTEC S 2022,Honda,2022,2092,Petrol,Automatic,Islamabad,White,1500,MPV,51.5
6396,Honda Civic 1.8 i-VTEC CVT 2020,Honda,2020,45602,Petrol,Automatic,Islamabad,Silver,1800,Sedan,51.5
6397,Toyota Aqua S 2019,Toyota,2019,49000,Hybrid,Automatic,Islamabad,Silver,1500,Hatchback,51.5
6398,Toyota Corolla Altis Automatic 1.6 2021,Toyota,2021,13500,Petrol,Automatic,Islamabad,White,1600,Sedan,51.5
6399,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,20000,Petrol,Automatic,Sindh,White,1800,Sedan,51.5
6400,Toyota Raize Z 2020,Toyota,2020,15669,Petrol,Automatic,Bahawalpur,White,1000,Crossover,51.5
6401,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,6432,Petrol,Automatic,Sindh,Burgundy,1600,Sedan,51.5
6402,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,57052,Petrol,Automatic,Karachi,Silver,1800,Sedan,51.5
6403,Toyota Aqua S 2017,Toyota,2017,56000,Hybrid,Automatic,Sindh,Black,1500,Hatchback,51.5
6404,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,17000,Petrol,Automatic,Sindh,White,1800,Sedan,51.5
6405,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,23000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6406,DFSK Glory 580 Pro 2021,DFSK,2021,16770,Petrol,Automatic,Karachi,White,1500,Crossover,51.5
6407,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,16000,Petrol,Automatic,Un-Registered,Black,1800,Sedan,51.5
6408,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1600,Sedan,51.5
6409,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,42000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6410,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,18000,Petrol,Automatic,Islamabad,Black,1600,Sedan,51.5
6411,Hyundai Elantra GLS 2021,Hyundai,2021,17500,Petrol,Automatic,Karachi,White,2000,Sedan,51.5
6412,DFSK Glory 580 Pro 2021,DFSK,2021,11500,Petrol,Automatic,Islamabad,White,1500,Crossover,51.5
6413,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,20500,Petrol,Automatic,Islamabad,White,1800,Sedan,51.5
6414,Toyota Raize Z 2019,Toyota,2019,32000,Petrol,Automatic,Islamabad,Silver,1000,Crossover,51.5
6415,DFSK Glory 580 Pro 2021,DFSK,2021,23500,Petrol,Automatic,Punjab,Silver,1500,Crossover,51.5
6416,Honda Civic 1.5 VTEC Turbo Oriel 2021,Honda,2021,8000,Petrol,Automatic,Sindh,Black,1500,Sedan,51.5
6417,DFSK Glory 580 Pro 2021,DFSK,2021,24800,Petrol,Automatic,Islamabad,White,1500,Crossover,51.6
6418,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,29000,Petrol,Automatic,Sindh,Black,1800,Sedan,51.7
6419,Toyota Raize 2020,Toyota,2020,14500,Petrol,Automatic,Un-Registered,White,1000,Crossover,51.75
6420,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,9200,Petrol,Automatic,Punjab,White,1600,Sedan,51.75
6421,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,25000,Petrol,Automatic,Islamabad,Black,1800,Sedan,51.75
6422,Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,Toyota,2022,4600,Petrol,Automatic,Un-Registered,White,1600,Sedan,51.75
6423,Toyota Corolla Altis Grande CVT-i 1.8 2021,Toyota,2021,28000,Petrol,Automatic,Karachi,White,1800,Sedan,51.75
6424,DFSK Glory 580 Pro 2021,DFSK,2021,22000,Petrol,Automatic,Islamabad,White,1500,Crossover,51.75
6425,Toyota Corolla Altis Grande CVT-i 1.8 2021,Toyota,2021,28000,Petrol,Automatic,Karachi,White,1800,Sedan,51.75
6426,DFSK Glory 580 Pro 2021,DFSK,2021,12200,Petrol,Automatic,Punjab,Black,1500,Crossover,51.75
6427,Toyota Corolla Altis Grande CVT-i 1.8 2021,Toyota,2021,28000,Petrol,Automatic,Karachi,White,1800,Sedan,51.75
6428,Toyota Corolla Altis X Automatic 1.6 2022,Toyota,2022,8500,Petrol,Automatic,Islamabad,Black,1600,Sedan,51.75
6429,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,28507,Petrol,Automatic,Karachi,White,1800,Sedan,51.75
6430,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,7500,Petrol,Automatic,Un-Registered,White,1800,Sedan,51.75
6431,Honda Vezel Hybrid X 2016,Honda,2016,53000,Petrol,Automatic,Lahore,Black,1500,Crossover,51.75
6432,Hyundai Elantra GLS 2021,Hyundai,2021,25000,Petrol,Automatic,Punjab,Black,2000,Sedan,51.8
6433,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,18500,Petrol,Automatic,Islamabad,Grey,1800,Sedan,51.85
6434,Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,Toyota,2022,13000,Petrol,Automatic,Punjab,White,1600,Sedan,51.9
6435,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,16000,Petrol,Automatic,Islamabad,White,1600,Sedan,51.9
6436,Honda BR-V i-VTEC S 2022,Honda,2022,3400,Petrol,Automatic,Islamabad,White,1500,MPV,51.92
6437,Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,Toyota,2022,13000,Petrol,Automatic,Islamabad,Black,1600,Sedan,51.95
6438,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,30000,Petrol,Automatic,Islamabad,Black,1800,Sedan,51.95
6439,DFSK Glory 580 Pro 2021,DFSK,2021,21000,Petrol,Automatic,Islamabad,Black,1500,Crossover,51.95
6440,Hyundai Elantra GLS 2021,Hyundai,2021,9000,Petrol,Automatic,Un-Registered,White,2000,Sedan,51.95
6441,Toyota Corolla Altis Grande CVT-i 1.8 2021,Toyota,2021,45000,Petrol,Automatic,Islamabad,White,1800,Sedan,51.95
6442,Hyundai Elantra GLS 2021,Hyundai,2021,24800,Petrol,Automatic,Punjab,Black,2000,Sedan,51.99
6443,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,348,Petrol,Automatic,Punjab,White,1600,Sedan,51.99
6444,KIA Sportage Alpha 2020,KIA,2020,28000,Petrol,Automatic,Islamabad,White,2000,SUV,51.99
6445,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,40000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6446,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,4000,Petrol,Automatic,Sindh,White,1600,Sedan,52
6447,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,19500,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6448,Honda BR-V i-VTEC S 2022,Honda,2022,10576,Petrol,Automatic,Islamabad,White,1500,MPV,52
6449,Honda Civic 1.8 i-VTEC CVT 2021,Honda,2021,10000,Petrol,Automatic,Islamabad,Silver,1800,Sedan,52
6450,DFSK Glory 580 Pro 2021,DFSK,2021,25091,Petrol,Automatic,Islamabad,Black,1500,Crossover,52
6451,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,11000,Petrol,Automatic,Un-Registered,White,1800,Sedan,52
6452,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,45000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6453,Hyundai Elantra GLS 2021,Hyundai,2021,60000,Petrol,Automatic,Un-Registered,Black,2000,Sedan,52
6454,Toyota Sienta G 2016,Toyota,2016,49500,Petrol,Automatic,Punjab,White,1500,Van,52
6455,Toyota Aqua S 2019,Toyota,2019,52000,Hybrid,Automatic,Karachi,Silver,1500,Hatchback,52
6456,DFSK Glory 580 Pro 2021,DFSK,2021,25000,Petrol,Automatic,Islamabad,Black,1500,Crossover,52
6457,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,19800,Petrol,Automatic,Un-Registered,White,1800,Sedan,52
6458,Honda Civic 1.8 i-VTEC CVT 2020,Honda,2020,38000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6459,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,12900,Petrol,Automatic,Islamabad,Black,1600,Sedan,52
6460,DFSK Glory 580 Pro 2021,DFSK,2021,11000,Petrol,Automatic,Lahore,Grey,1500,Crossover,52
6461,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,22000,Petrol,Automatic,Punjab,White,1800,Sedan,52
6462,DFSK Glory 580 1.5 CVT 2020,DFSK,2020,50000,Petrol,Automatic,Islamabad,Blue,1500,SUV,52
6463,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,39000,Petrol,Automatic,Islamabad,Brown,1800,Sedan,52
6464,Honda Civic 1.8 i-VTEC CVT 2021,Honda,2021,15000,Petrol,Automatic,Un-Registered,White,1800,Sedan,52
6465,Toyota Corolla Altis Automatic 1.6 2021,Toyota,2021,3450,Petrol,Automatic,Islamabad,White,1600,Sedan,52
6466,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,17000,Petrol,Automatic,Karachi,Maroon,1800,Sedan,52
6467,DFSK Glory 580 Pro 2021,DFSK,2021,14000,Petrol,Automatic,Islamabad,Grey,1500,Crossover,52
6468,Toyota Corolla Altis Grande X CVT-i 1.8 Beige Interior 2021,Toyota,2021,50000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6469,Hyundai Elantra GLS 2021,Hyundai,2021,31000,Petrol,Automatic,Islamabad,White,2000,Sedan,52
6470,KIA Stonic EX+ 2022,KIA,2022,8000,Petrol,Automatic,Punjab,Black,1400,Crossover,52
6471,Toyota Corolla Altis SR Cruisetronic 1.6 2022,Toyota,2022,16000,Petrol,Automatic,Karachi,White,1600,Sedan,52
6472,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,29000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6473,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,38000,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6474,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,48907,Petrol,Automatic,Lahore,White,1800,Sedan,52
6475,Honda Civic 1.5 RS Turbo 2020,Honda,2020,55000,Petrol,Automatic,Lahore,Maroon,1500,Sedan,52
6476,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,14200,Petrol,Automatic,Lahore,Grey,1800,Sedan,52
6477,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,40000,Petrol,Automatic,Punjab,White,1800,Sedan,52
6478,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,29800,Petrol,Automatic,Lahore,White,1800,Sedan,52
6479,Honda Civic Oriel 1.8 i-VTEC CVT 2019,Honda,2019,30000,Petrol,Automatic,Islamabad,Black,1800,Sedan,52
6480,Nissan Note E-Power Black Arrow Edition  2021,Nissan,2021,26000,Petrol,Automatic,Un-Registered,White,1500,Subcompact hatchback,52
6481,DFSK Glory 580 Pro 2021,DFSK,2021,5468,Petrol,Automatic,Karachi,White,1500,Crossover,52
6482,Toyota Corolla Axio X 1.5 2017,Toyota,2017,22000,Petrol,Automatic,Sindh,White,1500,Sedan,52
6483,Honda BR-V i-VTEC S 2020,Honda,2020,40200,Petrol,Automatic,Islamabad,Silver,1500,MPV,52
6484,Toyota Aqua G LED Soft Leather Selection  2018,Toyota,2018,39000,Hybrid,Automatic,Un-Registered,White,1500,Hatchback,52
6485,Honda Civic 1.5 VTEC Turbo Oriel 2020,Honda,2020,33000,Petrol,Automatic,Islamabad,White,1500,Sedan,52
6486,Toyota Corolla Altis X Automatic 1.6 2021,Toyota,2021,12000,Petrol,Automatic,Karachi,White,1600,Sedan,52
6487,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,29284,Petrol,Automatic,Lahore,White,1800,Sedan,52
6488,Honda Civic 1.8 i-VTEC CVT 2020,Honda,2020,50000,Petrol,Automatic,Sindh,White,1800,Sedan,52
6489,DFSK Glory 580 Pro 2021,DFSK,2021,5000,Petrol,Automatic,Un-Registered,Black,1500,Crossover,52
6490,Honda Vezel Hybrid Z Honda Sensing  2017,Honda,2017,26400,Petrol,Automatic,Un-Registered,Grey,1500,Crossover,52
6491,Hyundai Elantra GLS 2021,Hyundai,2021,34000,Petrol,Automatic,Islamabad,Black,2000,Sedan,52
6492,Honda Vezel Hybrid Z Honda Sensing  2016,Honda,2016,32000,Petrol,Automatic,Un-Registered,Grey,1500,Crossover,52
6493,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,45000,Petrol,Automatic,Islamabad,Silver,1800,Sedan,52
6494,Toyota Corolla Altis X Automatic 1.6 2021,Toyota,2021,10600,Petrol,Automatic,Islamabad,White,1600,Sedan,52
6495,Toyota Corolla Altis X Automatic 1.6 Special Edition 2021,Toyota,2021,9000,Petrol,Automatic,Punjab,White,1600,Sedan,52
6496,DFSK Glory 580 Pro 2021,DFSK,2021,6000,Petrol,Automatic,Islamabad,Black,1500,Crossover,52
6497,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,29000,Petrol,Automatic,Sindh,Black,1800,Sedan,52
6498,DFSK Glory 580 Pro 2021,DFSK,2021,21000,Petrol,Automatic,Islamabad,Silver,1500,Crossover,52
6499,DFSK Glory 580 Pro 2021,DFSK,2021,13000,Petrol,Automatic,Punjab,White,1500,Crossover,52
6500,Honda BR-V i-VTEC S 2022,Honda,2022,4000,Petrol,Automatic,Islamabad,White,1500,MPV,52
6501,Toyota Aqua G LED Soft Leather Selection  2020,Toyota,2020,60000,Hybrid,Automatic,Lahore,Turquoise,1500,Hatchback,52
6502,MG ZS 1.5L 2021,MG,2021,15000,Petrol,Automatic,Islamabad,Red,1500,Compact SUV,52
6503,Hyundai Elantra GLS 2021,Hyundai,2021,4600,Petrol,Automatic,Karachi,White,2000,Sedan,52
6504,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,32000,Petrol,Automatic,Islamabad,Black,1800,Sedan,52
6505,Toyota Corolla Altis Automatic 1.6 2021,Toyota,2021,2000,Petrol,Automatic,Islamabad,White,1600,Sedan,52
6506,Nissan Note 1.2E 2019,Nissan,2019,43886,Petrol,Automatic,Un-Registered,Blue,1198,Hatchback,52
6507,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,25046,Petrol,Automatic,Punjab,White,1800,Sedan,52
6508,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,9000,Petrol,Automatic,Karachi,White,1800,Sedan,52
6509,Nissan Note X FOUR 2019,Nissan,2019,31746,Hybrid,Automatic,Un-Registered,White,1200,Mini Van,52
6510,Toyota Aqua S 2019,Toyota,2019,39000,Petrol,Automatic,Islamabad,Silver,1500,Hatchback,52
6511,Hyundai Elantra GLS 2021,Hyundai,2021,18352,Petrol,Automatic,Karachi,Black,2000,Sedan,52
6512,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,5244,Petrol,Automatic,Punjab,White,1600,Sedan,52
6513,Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,Toyota,2022,2591,Petrol,Automatic,Karachi,Black,1600,Sedan,52
6514,Honda Civic Oriel 1.8 i-VTEC CVT 2021,Honda,2021,28000,Petrol,Automatic,Sindh,Silver,1800,Sedan,52
6515,Toyota Corolla Altis X Automatic 1.6 Special Edition 2022,Toyota,2022,8000,Petrol,Automatic,Sindh,Silver,1600,Sedan,52
6516,Toyota Corolla Altis X Automatic 1.6 2022,Toyota,2022,1400,Petrol,Automatic,Islamabad,White,1600,Sedan,52
6517,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,750,Petrol,Automatic,Punjab,White,1600,Sedan,52
6518,DFSK Glory 580 Pro 2021,DFSK,2021,14000,Petrol,Automatic,Islamabad,Black,1500,Crossover,52
6519,Honda BR-V i-VTEC S 2022,Honda,2022,1000,Petrol,Automatic,Islamabad,White,1500,MPV,52
6520,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,33500,Petrol,Automatic,Islamabad,White,1800,Sedan,52
6521,Honda Vezel Hybrid Z 2015,Honda,2015,49000,Hybrid,Automatic,Islamabad,White,1500,Crossover,52
6522,Toyota Aqua S 2019,Toyota,2019,17000,Hybrid,Automatic,Un-Registered,White,1500,Hatchback,52
6523,Toyota Corolla Altis Automatic 1.6 2022,Toyota,2022,3340,Petrol,Automatic,Punjab,White,1600,Sedan,52
6524,Audi A4 1.8 TFSI 2007,Audi,2007,45000,Petrol,Automatic,Karachi,Black,1800,Sedan,52
6525,Honda Civic Oriel 1.8 i-VTEC CVT 2020,Honda,2020,19500,Petrol,Automatic,Sindh,White,1800,Sedan,52
6526,Toyota Corolla Altis Grande CVT-i 1.8 2020,Toyota,2020,8000,Petrol,Automatic,Karachi,Grey,1800,Sedan,52
6527,DFSK Glory 580 1.5 CVT 2021,DFSK,2021,13000,Petrol,Automatic,Islamabad,White,1500,SUV,52
6528,Honda Vezel Hybrid Z 2015,Honda,2015,35000,Hybrid,Automatic,Punjab,Silver,1500,Crossover,52
6529,Nissan Note 1.2E 2019,Nissan,2019,32640,Petrol,Automatic,Islamabad,White,1198,Hatchback,52
6530,KIA Sportage Alpha 2020,KIA,2020,36500,Petrol,Automatic,Un-Registered,White,2000,SUV,52
