S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs)
1959,Suzuki Alto VX 2021,Suzuki,2021,15000,Petrol,Manual,Abbottabad,White,660,Hatchback,19.35
1960,Suzuki Alto VX 2021,Suzuki,2021,21500,Petrol,Manual,Lahore,White,660,Hatchback,19.35
1961,Suzuki Alto VX 2021,Suzuki,2021,15000,Petrol,Manual,Punjab,White,660,Hatchback,19.35
1962,Suzuki Alto VXR 2020,Suzuki,2020,30000,Petrol,Manual,Lahore,Silver,660,Hatchback,19.35
1963,Suzuki Alto VXR 2020,Suzuki,2020,31000,Petrol,Manual,Islamabad,Silver,660,Hatchback,19.35
1964,Suzuki Alto VXR 2021,Suzuki,2021,10200,Petrol,Manual,Lahore,White,660,Hatchback,19.35
1965,Suzuki Alto VXR 2020,Suzuki,2020,50115,Petrol,Manual,Islamabad,Grey,660,Hatchback,19.35
1966,Suzuki Alto VX 2021,Suzuki,2021,14000,Petrol,Manual,Punjab,White,660,Hatchback,19.35
1967,Suzuki Wagon R VXL 2018,Suzuki,2018,52355,Petrol,Manual,Lahore,White,1000,Hatchback,19.35
1968,Suzuki Alto VXR 2020,Suzuki,2020,48500,Petrol,Manual,Punjab,Silver,660,Hatchback,19.4
1969,Suzuki Wagon R VXL 2018,Suzuki,2018,46000,Petrol,Manual,Lahore,White,1000,Hatchback,19.4
1970,Suzuki Alto VX 2021,Suzuki,2021,29000,Petrol,Manual,Punjab,White,660,Hatchback,19.4
1971,Daihatsu Mira G Smart Drive Package 2015,Daihatsu,2015,40000,Petrol,Automatic,Lahore,Turquoise,660,Hatchback,19.4
1972,Suzuki Alto VXR 2021,Suzuki,2021,12500,Petrol,Manual,Sindh,Grey,660,Hatchback,19.4
1973,Suzuki Alto VXR 2019,Suzuki,2019,60000,Petrol,Manual,Lahore,Silver,660,Hatchback,19.4
1974,Suzuki Alto VXR 2020,Suzuki,2020,21000,Petrol,Manual,Sindh,White,660,Hatchback,19.4
1975,Suzuki Alto VXR 2019,Suzuki,2019,45000,Petrol,Manual,Punjab,White,660,Hatchback,19.4
1976,Suzuki Alto VXR 2021,Suzuki,2021,41000,Petrol,Manual,Sindh,White,660,Hatchback,19.4
1977,Suzuki Wagon R VXL 2018,Suzuki,2018,32000,Petrol,Manual,Lahore,White,1000,Hatchback,19.45
1978,Suzuki Alto VX 2022,Suzuki,2022,15150,Petrol,Manual,Sindh,Silver,660,Hatchback,19.45
1979,Suzuki Alto VXR 2020,Suzuki,2020,30000,Petrol,Manual,Punjab,White,660,Hatchback,19.45
1980,Suzuki Wagon R VXL 2017,Suzuki,2017,57000,Petrol,Manual,Lahore,White,1000,Hatchback,19.45
1981,Daihatsu Tanto G 2018,Daihatsu,2018,42500,Hybrid,Automatic,Lahore,Green,660,Hatchback,19.5
1982,Toyota Hilux Tiger 2002,Toyota,2002,12444,Diesel,Manual,Karachi,Green,3000,SUV,19.5
1983,Suzuki Alto VX 2022,Suzuki,2022,1400,Hybrid,Manual,Abbottabad,White,660,Hatchback,19.5
1984,Suzuki Wagon R VXL 2018,Suzuki,2018,52000,Petrol,Manual,Lahore,Gold,1000,Hatchback,19.5
1985,Changan Karvaan Base Model 1.0 2020,Changan,2020,48000,Petrol,Manual,Punjab,White,1000,Mini Van,19.5
1986,Suzuki Wagon R VXL 2018,Suzuki,2018,45500,Petrol,Manual,Islamabad,White,1000,Hatchback,19.5
1987,Suzuki Wagon R VXL 2018,Suzuki,2018,55000,Petrol,Manual,Lahore,White,1000,Hatchback,19.5
1988,Suzuki Alto VXR 2020,Suzuki,2020,41400,Petrol,Manual,Islamabad,Silver,660,Hatchback,19.5
1989,Changan Karvaan Base Model 1.0 2020,Changan,2020,33000,Petrol,Manual,Lahore,White,1000,Mini Van,19.5
1990,Suzuki Wagon R Stingray X 2014,Suzuki,2014,36500,Petrol,Automatic,Islamabad,Indigo,660,Hatchback,19.5
