S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
4507,Toyota Yaris ATIV X CVT 1.5 2020,Toyota,2020,36000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,38.3,47.914322424048805,48.03534612973999,44.483035266619964
4508,Toyota Yaris ATIV MT 1.3 2022,Toyota,2022,800,Petrol,Manual,Islamabad,Silver,1300.0,Sedan,38.3,39.76051092763282,39.59286241366408,36.702101028004066
4509,Toyota Corolla Altis Automatic 1.6 2017,Toyota,2017,58000,Petrol,Automatic,Punjab,Grey,1600.0,Sedan,38.3,43.12233111934438,43.211295472675374,48.62704364250266
4510,Honda City 1.2L CVT 2022,Honda,2022,4700,Petrol,Automatic,Punjab,White,1200.0,Compact sedan,38.4,39.31500309985768,39.39310732779177,33.13838488996825
4511,Honda City 1.2L CVT 2022,Honda,2022,6000,Petrol,Automatic,Punjab,White,1200.0,Compact sedan,38.4,39.31500309985768,39.39310732779177,33.13838488996825
4512,Honda City 1.2L CVT 2022,Honda,2022,2000,Petrol,Automatic,Un-Registered,White,1200.0,Compact sedan,38.4,42.16077707946897,42.313887462570165,33.13868721577354
4513,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,4000,Petrol,Automatic,Punjab,White,1300.0,Sedan,38.45,46.85729096701289,46.9124118562886,36.70307978025424
4514,Toyota Aqua G 2016,Toyota,2016,50000,Hybrid,Automatic,Islamabad,Silver,1500.0,Hatchback,38.5,47.04322237827364,47.028411453451554,44.465584137270184
4515,Toyota Aqua S 2015,Toyota,2015,38000,Hybrid,Automatic,Un-Registered,Grey,1500.0,Hatchback,38.5,47.85210472945437,47.892282963748585,44.461354444408144
4516,Toyota Yaris ATIV CVT 1.3 2021,Toyota,2021,21000,Petrol,Automatic,Punjab,White,1300.0,Sedan,38.5,44.770933054285706,44.83641035879282,36.69856440937143
4517,Toyota Yaris ATIV CVT 1.3 2020,Toyota,2020,37000,Petrol,Automatic,Lahore,Silver,1300.0,Sedan,38.5,41.42649463971611,41.54107279257005,36.69394918210611
4518,Honda City 1.2L M/T 2022,Honda,2022,5900,Petrol,Manual,Islamabad,Silver,1200.0,Compact sedan,38.5,32.21822306047761,32.07355788516725,33.13740455346017
4519,Toyota Corolla GLi Automatic 1.3 VVTi 2019,Toyota,2019,36505,Petrol,Automatic,Islamabad,White,1300.0,Sedan,38.5,41.32324188829625,41.46043840024868,36.68958426635971
4520,Toyota Passo Moda 2021,Toyota,2021,3500,Petrol,Automatic,Un-Registered,Green,1000.0,Hatchback,38.5,40.56391591507963,40.704479475102744,26.80676197916558
4521,Suzuki Swift GLX CVT 2022,Suzuki,2022,9500,Petrol,Automatic,Punjab,White,1200.0,Hatchback,38.5,40.71383093942313,40.85483760406714,33.13809332305068
4522,Toyota Yaris ATIV CVT 1.3 2021,Toyota,2021,7821,Petrol,Automatic,Sindh,Silver,1300.0,Sedan,38.5,43.23581155665215,43.290944580194264,36.69845888155689
4523,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,9000,Petrol,Automatic,Punjab,White,1500.0,Sedan,38.5,42.87813689395807,43.0481020936968,44.491875305404534
4524,Honda City 1.2L CVT 2021,Honda,2021,12000,Petrol,Automatic,Punjab,Silver,1200.0,Compact sedan,38.5,36.39390002479831,36.452513676705166,33.133857246397874
4525,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,53000,Petrol,Automatic,Lahore,White,1600.0,Sedan,38.5,44.84560791113017,45.00202129916488,48.63148355014481
4526,Toyota Vitz F 1.3 2019,Toyota,2019,50000,Petrol,Automatic,Un-Registered,Grey,1300.0,Hatchback,38.5,45.44009649608961,45.47589595590762,36.69000424413937
4527,Honda Civic Oriel 1.8 i-VTEC CVT 2017,Honda,2017,50000,Petrol,Automatic,Sindh,White,1800.0,Sedan,38.5,48.339270166371534,48.347480113798156,57.28364365236832
4528,Honda City 1.2L CVT 2021,Honda,2021,18000,Petrol,Automatic,Islamabad,White,1200.0,Compact sedan,38.5,37.95366984659631,38.09313686674159,33.133906322115465
4529,Honda Civic Oriel 1.8 i-VTEC CVT 2017,Honda,2017,57200,Petrol,Automatic,Lahore,Black,1800.0,Sedan,38.55,50.591653005905755,50.70252382381386,57.283788410831015
4530,Honda City Aspire Prosmatec 1.5 i-VTEC 2020,Honda,2020,16000,Petrol,Automatic,Islamabad,Silver,1500.0,Sedan,38.56,48.43191580245184,48.41943776615244,44.48286361491134
4531,Suzuki Swift GLX CVT 2022,Suzuki,2022,11000,Petrol,Automatic,Sindh,White,1200.0,Hatchback,38.6,40.01345460412176,40.17396397905941,33.13801230767641
4532,Toyota Vitz F M Package 1.0 2019,Toyota,2019,35000,Petrol,Automatic,Islamabad,White,1000.0,Hatchback,38.6,36.622517459975825,36.65225575371278,26.797618912485106
4533,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,5600,Petrol,Automatic,Sindh,Black,1300.0,Sedan,38.6,48.1322564754546,48.260452231425916,36.70314594637402
4534,Toyota Corolla GLi Automatic 1.3 VVTi 2020,Toyota,2020,31400,Petrol,Automatic,Lahore,Silver,1300.0,Sedan,38.65,41.42649463971611,41.54107279257005,36.69394918210611
4535,Honda Civic 1.8 i-VTEC CVT 2017,Honda,2017,60000,Petrol,Automatic,Islamabad,White,1800.0,Sedan,38.65,49.76467116113872,49.80438477525149,57.28375243534177
4536,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,13739,Petrol,Automatic,Lahore,White,1500.0,Sedan,38.65,48.85232033779994,48.98057267565218,44.48742052112757
4537,Toyota Corolla Altis Automatic 1.6 2019,Toyota,2019,6700,Petrol,Automatic,Lahore,White,1600.0,Sedan,38.7,46.931965823857354,47.07802279665975,48.63594741163756
4538,Toyota Corolla GLi Automatic 1.3 VVTi 2019,Toyota,2019,50000,Petrol,Automatic,Islamabad,Silver,1300.0,Sedan,38.75,40.48849672596407,40.59584624665786,36.689559865071686
4539,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,32000,Petrol,Automatic,Punjab,White,1500.0,Sedan,38.75,49.27565567731017,49.33531659078926,44.48750292050348
4540,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,30000,Petrol,Automatic,Punjab,White,1500.0,Sedan,38.75,49.27565567731017,49.33531659078926,44.48750292050348
4541,Honda BR-V i-VTEC S 2019,Honda,2019,59000,Petrol,Automatic,Lahore,Silver,1500.0,MPV,38.75,48.682442062457085,48.67089551201752,44.47857732154569
4542,Toyota Vitz F 1.0 2019,Toyota,2019,37000,Petrol,Automatic,Un-Registered,Black,1000.0,Hatchback,38.75,40.718608623864384,40.825918852190625,26.79803709737974
4543,Toyota Corolla Altis Automatic 1.6 2019,Toyota,2019,17000,Petrol,Automatic,Islamabad,White,1600.0,Sedan,38.75,48.0803258228334,48.20879774824243,48.63605798526154
4544,Honda City 1.2L M/T 2021,Honda,2021,9600,Petrol,Manual,Punjab,White,1200.0,Compact sedan,38.75,30.2415856506168,30.086117504816684,33.132897608793314
4545,Honda City 1.2L CVT 2022,Honda,2022,9300,Petrol,Automatic,Lahore,Silver,1200.0,Compact sedan,38.75,38.05692259801526,38.17377125906387,33.13827802922778
4546,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,49997,Petrol,Automatic,Lahore,Silver,1600.0,Sedan,38.8,44.01086274879799,44.13742914557406,48.631456015696145
4547,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,57000,Petrol,Automatic,Islamabad,White,1600.0,Sedan,38.8,45.99396791010622,46.13279625074756,48.6315941235619
4548,Toyota Vitz F 1.0 2019,Toyota,2019,25000,Petrol,Automatic,Islamabad,White,1000.0,Hatchback,38.8,36.622517459975825,36.65225575371278,26.797618912485106
4549,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,40000,Petrol,Automatic,Lahore,White,1600.0,Sedan,38.85,44.84560791113017,45.00202129916488,48.63148355014481
4550,Honda City Aspire Prosmatec 1.5 i-VTEC 2021,Honda,2021,29500,Petrol,Automatic,Islamabad,White,1500.0,Sedan,38.85,51.353018877511204,51.36003141723813,44.487386133644975
4551,Honda City 1.2L CVT 2022,Honda,2022,3000,Petrol,Automatic,Islamabad,Silver,1200.0,Compact sedan,38.9,39.20528259699131,39.30454621064655,33.1383874484864
4552,Toyota Corolla Altis Grande CVT-i 1.8 2017,Toyota,2017,55000,Petrol,Automatic,Hyderabad,Black,1800.0,Sedan,38.9,49.10247617704408,49.277410748308284,57.284038463699645
4553,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,20000,Petrol,Automatic,Lahore,Silver,1500.0,Sedan,38.9,48.017575175467755,48.11598052206136,44.48739397185914
4554,Toyota Vitz Jewela Smart Stop Package 1.0 2019,Toyota,2019,44500,Petrol,Automatic,Un-Registered,Black,1000.0,Hatchback,38.9,40.718608623864384,40.825918852190625,26.79803709737974
4555,Toyota Corolla GLi 1.3 VVTi 2020,Toyota,2020,21200,Petrol,Manual,Punjab,White,1300.0,Sedan,38.9,35.69751560504483,35.529420535818645,36.693075917824316
4556,Toyota Corolla GLi Automatic 1.3 VVTi 2019,Toyota,2019,30225,Petrol,Automatic,Islamabad,Black,1300.0,Sedan,38.9,43.29858373203933,43.48935240039373,36.68973155959694
4557,Toyota Corolla GLi 1.3 VVTi 2020,Toyota,2020,21200,Petrol,Manual,Lahore,White,1300.0,Sedan,38.9,35.274180265534596,35.174676620681566,36.6929925064832
4558,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,1500,Petrol,Automatic,Lahore,White,1300.0,Sedan,38.9,46.433955627502655,46.55766794115152,36.70299636918732
4559,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,32000,Petrol,Automatic,Islamabad,Silver,1600.0,Sedan,38.9,45.15922274777404,45.26820409715674,48.63156658908224
4560,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,19900,Petrol,Automatic,Punjab,Black,1500.0,Sedan,38.9,51.25099752105325,51.36423059093431,44.487650636306185
4561,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,3077,Petrol,Automatic,Punjab,Silver,1500.0,Sedan,38.9,42.04339173162589,42.18350994010598,44.49184875567265
4562,Honda City 1.2L CVT 2022,Honda,2022,1462,Petrol,Automatic,Punjab,White,1200.0,Compact sedan,38.9,39.31500309985768,39.39310732779177,33.13838488996825
4563,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,1800,Petrol,Automatic,Karachi,Blue,1300.0,Sedan,38.9,46.636010886087206,46.55138085924318,36.70311850805626
4564,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,15500,Petrol,Automatic,Islamabad,White,1500.0,Sedan,38.95,50.000680336775986,50.11134762723486,44.4875312366039
4565,Toyota Vitz F Smile Edition 1.0 2019,Toyota,2019,45000,Petrol,Automatic,Un-Registered,Silver,1000.0,Hatchback,38.95,37.90852161778912,37.932412698454755,26.79787250328672
4566,Honda City 1.2L CVT 2022,Honda,2022,12800,Petrol,Automatic,Lahore,White,1200.0,Compact sedan,38.95,38.891667760347445,39.03836341265469,33.13830128815307
4567,Honda Civic 1.5 VTEC Turbo Oriel 2016,Honda,2016,60000,Petrol,Automatic,Islamabad,Black,1500.0,Sedan,38.95,42.89657115761747,43.008937929908825,44.46511045305767
4568,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,22000,Petrol,Automatic,Islamabad,Grey,1500.0,Sedan,38.95,49.94042611820714,50.04187938310315,44.48746910707466
4569,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,18000,Petrol,Automatic,Punjab,White,1500.0,Sedan,38.95,49.27565567731017,49.33531659078926,44.48750292050348
4570,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,600,Petrol,Automatic,Un-Registered,White,1300.0,Sedan,38.95,49.70306494662418,49.833191991067,36.703382841889095
4571,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,11275,Petrol,Automatic,Sindh,Silver,1500.0,Sedan,38.95,47.740534179676615,47.78985081219071,44.48739562187383
4572,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,2020,Petrol,Automatic,Punjab,White,1300.0,Sedan,38.95,46.85729096701289,46.9124118562886,36.70307978025424
4573,Toyota Yaris ATIV X CVT 1.5 2020,Toyota,2020,58000,Petrol,Automatic,Punjab,White,1500.0,Sedan,38.95,47.18929776458299,47.25931509329439,44.48300695081848
4574,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,18000,Petrol,Automatic,Abbottabad,Black,1500.0,Sedan,38.99,51.47807188050592,51.630452114594846,44.487666240702524
4575,Suzuki Swift GLX CVT 2022,Suzuki,2022,2600,Petrol,Automatic,Sindh,White,1200.0,Hatchback,38.99,40.01345460412176,40.17396397905941,33.13801230767641
4576,Nissan Note 1.2E 2017,Nissan,2017,34000,Petrol,Automatic,Lahore,Grey,1198.0,Hatchback,38.99,35.96447824699408,35.9377239266787,33.047036311532196
4577,Toyota Yaris ATIV X CVT 1.5 2022,Toyota,2022,12000,Petrol,Automatic,Un-Registered,White,1500.0,Sedan,38.99,54.207787569648644,54.33209822306344,44.49230645252882
4578,Honda Vezel Hybrid Z 2014,Honda,2014,56000,Hybrid,Automatic,Karachi,White,1500.0,Crossover,39.0,59.65868022540053,59.64478011708161,44.45682808114903
4579,Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,2018,60000,Petrol,Automatic,Sindh,Bronze,1800.0,Sedan,39.0,38.589873734387766,39.59067537975807,57.288039676482214
4580,Honda Civic Oriel 1.8 i-VTEC CVT 2018,Honda,2018,49000,Petrol,Automatic,Sindh,Silver,1800.0,Sedan,39.0,49.59088291676653,49.55888945770221,57.28800096937641
4581,Honda Vezel Hybrid X 2014,Honda,2014,43000,Hybrid,Automatic,Karachi,White,1500.0,Crossover,39.0,59.65868022540053,59.64478011708161,44.45682808114903
4582,Changan Alsvin 1.5L DCT Lumiere 2021,Changan,2021,4800,Petrol,Automatic,Rawalpindi,Black,1500.0,Sedan,39.0,41.879775606323165,42.03530555659472,44.48750959966439
4583,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,55000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.0,49.27565567731017,49.33531659078926,44.48750292050348
4584,Honda City 1.2L CVT 2022,Honda,2022,11000,Petrol,Automatic,Punjab,Black,1200.0,Compact sedan,39.0,41.29034494360076,41.42202132793682,33.138531377250146
4585,Toyota Corolla Altis Automatic 1.6 2019,Toyota,2019,37000,Petrol,Automatic,Lahore,White,1600.0,Sedan,39.0,46.931965823857354,47.07802279665975,48.63594741163756
4586,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,22000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.0,49.27565567731017,49.33531659078926,44.48750292050348
4587,Suzuki Swift GLX CVT 2022,Suzuki,2022,4000,Petrol,Automatic,Sindh,White,1200.0,Hatchback,39.0,40.01345460412176,40.17396397905941,33.13801230767641
4588,Honda City Aspire Prosmatec 1.5 i-VTEC 2021,Honda,2021,14000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.0,50.62799421804539,50.58400038079253,44.48735781755565
4589,Changan Alsvin 1.5L DCT Lumiere 2021,Changan,2021,11000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.0,41.51680364069671,41.74813163264662,44.487402015104294
4590,Honda City 1.5L ASPIRE CVT 2021,Honda,2021,17000,Petrol,Automatic,Lahore,Black,1500.0,Compact sedan,39.0,45.537735625900496,45.739635263297714,44.487743987555945
4591,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,31000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.0,49.27565567731017,49.33531659078926,44.48750292050348
4592,Toyota Yaris ATIV X CVT 1.5 2020,Toyota,2020,31000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.0,47.18929776458299,47.25931509329439,44.48300695081848
4593,Toyota Passo X L Package 2015,Toyota,2015,49000,Petrol,Automatic,Islamabad,Silver,1000.0,Hatchback,39.0,27.44234064673401,27.483657610142473,26.780006941366025
4594,Toyota Corolla GLi 1.3 VVTi Special Edition 2019,Toyota,2019,10000,Petrol,Manual,Islamabad,White,1300.0,Sedan,39.0,34.336182351782554,34.229450074769375,36.68860318852425
4595,Toyota Yaris ATIV CVT 1.3 2021,Toyota,2021,8500,Petrol,Automatic,Punjab,White,1300.0,Sedan,39.0,44.770933054285706,44.83641035879282,36.69856440937143
4596,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,25000,Petrol,Automatic,Lahore,White,1500.0,Sedan,39.0,48.85232033779994,48.98057267565218,44.48742052112757
4597,Suzuki Swift GLX CVT 2022,Suzuki,2022,5000,Petrol,Automatic,Un-Registered,White,1200.0,Hatchback,39.0,43.55960491903443,43.77561773884554,33.13839564888979
4598,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,3300,Petrol,Automatic,Lahore,White,1300.0,Sedan,39.0,46.433955627502655,46.55766794115152,36.70299636918732
4599,Toyota Corolla Altis Manual 1.6 2020,Toyota,2020,35000,Petrol,Manual,Lahore,Black,1600.0,Sedan,39.0,44.00660604381483,43.95194996882037,48.639603869180974
4600,Honda City 1.2L M/T 2022,Honda,2022,6000,Petrol,Manual,Lahore,White,1200.0,Compact sedan,39.0,31.904608223833748,31.807375087175387,33.137318393092066
4601,Honda City Aspire Prosmatec 1.5 i-VTEC 2021,Honda,2021,18000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.0,51.353018877511204,51.36003141723813,44.487386133644975
4602,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,49144,Petrol,Automatic,Sindh,White,1600.0,Sedan,39.0,44.568566915339034,44.675891589294224,48.63148487116
4603,Toyota Yaris ATIV MT 1.3 2022,Toyota,2022,30000,Petrol,Manual,Punjab,White,1300.0,Sedan,39.0,39.87023143049919,39.6814235308093,36.70209870478001
4604,Toyota Corolla GLi Automatic 1.3 VVTi 2019,Toyota,2019,27500,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.0,41.32324188829625,41.46043840024868,36.68958426635971
4605,Toyota Yaris GLI CVT 1.3 2022,Toyota,2022,4300,Petrol,Automatic,Lahore,White,1300.0,Sedan,39.0,46.433955627502655,46.55766794115152,36.70299636918732
4606,Toyota Yaris ATIV CVT 1.3 2021,Toyota,2021,23000,Petrol,Automatic,Sindh,Silver,1300.0,Sedan,39.0,43.23581155665215,43.290944580194264,36.69845888155689
4607,Honda City 1.2L CVT 2022,Honda,2022,9000,Petrol,Automatic,Punjab,White,1200.0,Compact sedan,39.0,39.31500309985768,39.39310732779177,33.13838488996825
4608,Toyota Vitz F M Package 1.0 2018,Toyota,2018,50000,Petrol,Automatic,Punjab,Grey,1000.0,Hatchback,39.0,33.750880669213984,33.73075497564059,26.79312057414856
4609,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,58000,Petrol,Automatic,Islamabad,White,1600.0,Sedan,39.0,45.99396791010622,46.13279625074756,48.6315941235619
4610,Honda Civic Oriel 1.8 i-VTEC CVT 2017,Honda,2017,55000,Petrol,Automatic,Karachi,White,1800.0,Sedan,39.0,48.178604958017786,48.19406047433495,57.28373524576666
4611,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,11500,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.1,50.000680336775986,50.11134762723486,44.4875312366039
4612,Honda City 1.2L CVT 2022,Honda,2022,3700,Petrol,Automatic,Islamabad,Silver,1200.0,Compact sedan,39.1,39.20528259699131,39.30454621064655,33.1383874484864
4613,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,4900,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.1,43.60316155342389,43.8241331301424,44.4919036217684
4614,Honda Civic Oriel 1.8 i-VTEC CVT 2017,Honda,2017,48000,Petrol,Automatic,Lahore,White,1800.0,Sedan,39.15,48.616311162162674,48.67360982366881,57.283642997697356
4615,Toyota Yaris GLI CVT 1.3 2022,Toyota,2022,8500,Petrol,Automatic,Islamabad,Silver,1300.0,Sedan,39.2,46.74757046414652,46.82385073914338,36.70308210339691
4616,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,7000,Petrol,Automatic,Islamabad,Silver,1500.0,Sedan,39.2,42.768416391091705,42.95954097655158,44.49187707201075
4617,Toyota Corolla Altis Manual 1.6 2020,Toyota,2020,21000,Petrol,Manual,Punjab,White,1600.0,Sedan,39.25,42.45459953958198,42.2777798838124,48.63953812222695
4618,Changan Alsvin 1.5L DCT Lumiere 2022,Changan,2022,4500,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.25,43.60316155342389,43.8241331301424,44.4919036217684
4619,Toyota Corolla Altis Automatic 1.6 2018,Toyota,2018,44800,Petrol,Automatic,Lahore,White,1600.0,Sedan,39.25,44.84560791113017,45.00202129916488,48.63148355014481
4620,Toyota Corolla GLi Automatic 1.3 VVTi 2020,Toyota,2020,30000,Petrol,Automatic,Lahore,Silver,1300.0,Sedan,39.25,41.42649463971611,41.54107279257005,36.69394918210611
4621,Toyota Corolla GLi Automatic 1.3 VVTi 2019,Toyota,2019,27000,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.25,41.32324188829625,41.46043840024868,36.68958426635971
4622,Honda City 1.2L CVT 2022,Honda,2022,1900,Petrol,Automatic,Islamabad,Silver,1200.0,Compact sedan,39.25,39.20528259699131,39.30454621064655,33.1383874484864
4623,Toyota Yaris ATIV X CVT 1.5 2020,Toyota,2020,6000,Petrol,Automatic,Sindh,White,1500.0,Sedan,39.25,46.48892142928162,46.578441468286655,44.48292620133467
4624,Honda City 1.2L CVT 2022,Honda,2022,1580,Petrol,Automatic,Lahore,White,1200.0,Compact sedan,39.25,38.891667760347445,39.03836341265469,33.13830128815307
4625,Honda City 1.2L CVT 2022,Honda,2022,6500,Petrol,Automatic,Islamabad,White,1200.0,Compact sedan,39.25,40.04002775932349,40.16913836423737,33.138410707435
4626,Honda Civic Turbo 1.5 VTEC CVT 2016,Honda,2016,52000,Petrol,Automatic,Sindh,Black,1500.0,Sedan,39.25,41.471170162850285,41.55203326845549,44.465001388784856
4627,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,15000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.3,50.000680336775986,50.11134762723486,44.4875312366039
4628,Toyota Yaris ATIV CVT 1.3 2021,Toyota,2021,15000,Petrol,Automatic,Islamabad,Silver,1300.0,Sedan,39.3,44.66121255141934,44.7478492416476,36.69856673266759
4629,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,5000,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.35,47.5823156264787,47.6884428927342,36.703106505920346
4630,Toyota Yaris ATIV MT 1.3 2022,Toyota,2022,5300,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.35,47.5823156264787,47.6884428927342,36.703106505920346
4631,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,5500,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.4,47.5823156264787,47.6884428927342,36.703106505920346
4632,Toyota Corolla GLi Automatic 1.3 VVTi 2020,Toyota,2020,28722,Petrol,Automatic,Islamabad,Grey,1300.0,Sedan,39.4,43.3493455824555,43.466971653611836,36.69402186316063
4633,Honda City 1.5L CVT 2022,Honda,2022,13000,Petrol,Automatic,Abbottabad,White,1500.0,Compact sedan,39.45,46.2991613938475,46.407688199446056,44.49219588136009
4634,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,5500,Petrol,Automatic,Islamabad,White,1300.0,Sedan,39.45,47.5823156264787,47.6884428927342,36.703106505920346
4635,Honda BR-V i-VTEC S 2018,Honda,2018,10500,Petrol,Automatic,Sindh,Silver,1500.0,MPV,39.45,46.319043153938765,46.268764304651995,44.47409428885295
4636,Suzuki Swift GLX CVT 2022,Suzuki,2022,600,Petrol,Automatic,Un-Registered,White,1200.0,Hatchback,39.5,43.55960491903443,43.77561773884554,33.13839564888979
4637,Toyota Aqua X Urban 2015,Toyota,2015,60000,Hybrid,Automatic,Islamabad,Black,1500.0,Hatchback,39.5,47.766951471620814,47.84591610969255,44.46129067812254
4638,Toyota Aqua G 2015,Toyota,2015,52000,Hybrid,Automatic,Lahore,Black,1500.0,Hatchback,39.5,46.618591472644766,46.71514115810987,44.461179964141195
4639,Honda Vezel Hybrid X 2014,Honda,2014,43000,Hybrid,Automatic,Karachi,White,1500.0,Crossover,39.5,59.65868022540053,59.64478011708161,44.45682808114903
4640,Suzuki Xbee MZ 2019,Suzuki,2019,30000,Hybrid,Automatic,Un-Registered,Black,1000.0,Crossover,39.5,57.21102383545622,57.56452779627489,26.798311931777747
4641,Honda City 1.2L CVT 2021,Honda,2021,13000,Petrol,Automatic,Punjab,White,1200.0,Compact sedan,39.5,37.228645187130496,37.317105830295986,33.13388050490775
4642,Toyota Corolla Altis Automatic 1.6 2017,Toyota,2017,52000,Petrol,Automatic,Lahore,White,1600.0,Sedan,39.5,42.75924999840299,42.92601980167001,48.62702409975152
4643,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,23000,Petrol,Automatic,Islamabad,Black,1500.0,Sedan,39.5,51.97602218051907,52.140261627379914,44.487678952396294
4644,Toyota Yaris ATIV CVT 1.3 2022,Toyota,2022,5500,Petrol,Automatic,Abbottabad,White,1300.0,Sedan,39.5,47.08436532646556,47.17863337994913,36.70309529135733
4645,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,20000,Petrol,Automatic,Punjab,Black,1500.0,Sedan,39.5,51.25099752105325,51.36423059093431,44.487650636306185
4646,Honda City 1.2L CVT 2021,Honda,2021,19000,Petrol,Automatic,Lahore,Grey,1200.0,Compact sedan,39.5,36.74505562905142,36.892893671027196,33.13373539798643
4647,Toyota Yaris ATIV X CVT 1.5 2020,Toyota,2020,60000,Petrol,Automatic,Islamabad,White,1500.0,Sedan,39.5,47.914322424048805,48.03534612973999,44.483035266619964
4648,Honda BR-V i-VTEC S 2018,Honda,2018,58000,Petrol,Automatic,Islamabad,Silver,1500.0,MPV,39.5,47.74444414870595,47.72566896610533,44.474203353658844
4649,Honda Civic Oriel Prosmatec UG 2016,Honda,2016,41000,Petrol,Automatic,Lahore,White,1800.0,Sedan,39.5,46.52995324943549,46.59760832617394,57.27925822514871
4650,Nissan Note MEDALIST 2021,Nissan,2021,23900,Hybrid,Automatic,Un-Registered,Grey,1200.0,Mini Van,39.5,52.130096535945995,52.07945246500185,33.134424351009216
4651,Honda BR-V i-VTEC S 2020,Honda,2020,45000,Petrol,Manual,Islamabad,Black,1500.0,MPV,39.5,47.74018744372279,47.54018978935164,44.4823834832772
4652,Honda BR-V i-VTEC S 2020,Honda,2020,42000,Petrol,Automatic,Islamabad,Black,1500.0,MPV,39.5,54.72724698023649,54.771178114830946,44.48335262986116
4653,Toyota Corolla Altis CVT-i 1.8 2017,Toyota,2017,13628,Petrol,Automatic,Karachi,Silver,1800.0,Sedan,39.55,45.991521254950385,46.08078453074086,57.2838614946564
4654,Toyota Yaris ATIV X CVT 1.5 2022,Toyota,2022,12450,Petrol,Automatic,Punjab,Black,1500.0,Sedan,39.55,53.33735543378043,53.44023208843009,44.49215224239982
4655,Honda Civic Turbo 1.5 VTEC CVT 2017,Honda,2017,45000,Petrol,Automatic,Sindh,Grey,1500.0,Sedan,39.6,41.52193201326554,41.5296525216736,44.469264924618315
4656,Toyota Yaris ATIV X CVT 1.5 2021,Toyota,2021,15000,Petrol,Automatic,Punjab,White,1500.0,Sedan,39.6,49.27565567731017,49.33531659078926,44.48750292050348
