S.No#,CarTitle,CarCompany,ModelYear,Mileage(km),EngineType,Transmission,RegisteredCIty,CarColor,EngineCapacity(cc),BodyType,Price(PKR_lacs),PredictedPrice_LR,PredictedPrice_RR,PredictedPrice_SVR
2623,Suzuki Alto VXL AGS 2019,Suzuki,2019,28400,Petrol,Automatic,Islamabad,White,660.0,Hatchback,21.75,23.017030778540175,23.25581732163846,18.901445912497245
2624,Suzuki Alto VXR 2022,Suzuki,2022,6000,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.75,24.409794300354406,24.397582586977478,18.913460090309407
2625,Suzuki Alto VXR 2022,Suzuki,2022,500,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.75,24.409794300354406,24.397582586977478,18.913460090309407
2626,Suzuki Alto VXR 2021,Suzuki,2021,1700,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.75,22.323436387627225,22.321581089481697,18.90921509602788
2627,Suzuki Alto VXR 2021,Suzuki,2021,20000,Petrol,Manual,Punjab,White,660.0,Hatchback,21.75,19.47766240801593,19.4008009547033,18.908931163181443
2628,Suzuki Alto VXR 2021,Suzuki,2021,6300,Petrol,Manual,Lahore,Silver,660.0,Hatchback,21.75,18.219581906173516,18.1814648859754,18.908833510525604
2629,Suzuki Alto VXR 2022,Suzuki,2022,11560,Petrol,Manual,Punjab,White,660.0,Hatchback,21.75,21.56402032074311,21.47680245219908,18.91317615774784
2630,Suzuki Alto VXR 2021,Suzuki,2021,10000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.75,20.202687067481747,20.1768319911489,18.908951156042754
2631,Suzuki Alto VXR 2021,Suzuki,2021,20000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.75,20.202687067481747,20.1768319911489,18.908951156042754
2632,Suzuki Alto VXR 2022,Suzuki,2022,17500,Petrol,Manual,Abbottabad,White,660.0,Hatchback,21.75,21.791094680195783,21.743023975859614,18.913189654289603
2633,Suzuki Wagon R VXR 2020,Suzuki,2020,37360,Petrol,Manual,Islamabad,Grey,1000.0,Hatchback,21.75,25.714103395327584,25.679502843914634,26.800697752549567
2634,Suzuki Alto L 2018,Suzuki,2018,46500,Petrol,Automatic,Punjab,Silver,660.0,Hatchback,21.75,19.370903044014995,19.539192634107167,18.897203992895392
2635,Suzuki Alto VXL AGS 2019,Suzuki,2019,25500,Petrol,Automatic,Multan,White,660.0,Hatchback,21.75,23.99609629841234,24.173623991832756,18.901420268834315
2636,Suzuki Alto VXR 2021,Suzuki,2021,7000,Petrol,Manual,Islamabad,White,660.0,Hatchback,21.75,20.202687067481747,20.1768319911489,18.908951156042754
2637,Changan Karvaan Plus 2021,Changan,2021,11000,Petrol,Manual,Punjab,Silver,1000.0,Mini Van,21.75,22.0178400624809,21.86515390888235,26.80537612586175
2638,Suzuki Cultus VXL 2017,Suzuki,2017,60000,Petrol,Manual,Lahore,Grey,1000.0,Hatchback,21.75,18.306669658169085,18.32072339984734,26.78734815400611
2639,Changan Karvaan Plus 2021,Changan,2021,8030,Petrol,Manual,Lahore,Silver,1000.0,Mini Van,21.75,21.59450472297067,21.51040999374527,26.80529278624703
2640,Suzuki Alto VXR 2020,Suzuki,2020,48000,Petrol,Manual,Lahore,Grey,660.0,Hatchback,21.75,16.907714937209676,16.900587297939637,18.904561234962927
2641,Changan Karvaan Base Model 1.0 2021,Changan,2021,8700,Petrol,Manual,Punjab,White,1000.0,Mini Van,21.75,22.852585224813083,22.72974606247317,26.805397002038553
2642,Suzuki Alto VXR 2022,Suzuki,2022,1500,Petrol,Manual,Un-Registered,White,660.0,Hatchback,21.75,24.409794300354406,24.397582586977478,18.913460090309407
2643,Suzuki Wagon R VXL 2020,Suzuki,2020,23300,Petrol,Manual,Lahore,Silver,1000.0,Hatchback,21.75,23.791252452588196,23.753603982872846,26.800630101668325
2644,Suzuki Alto VXR 2022,Suzuki,2022,7500,Petrol,Manual,Punjab,White,660.0,Hatchback,21.75,21.56402032074311,21.47680245219908,18.91317615774784
2645,Suzuki Swift DLX 1.3 Navigation  2019,Suzuki,2019,32000,Petrol,Manual,Sindh,Silver,1300.0,Hatchback,21.75,28.184937478606116,28.099832123501074,36.688360776599076
